title,english_title,type,episodes,duration,source,season,genres,tags,score,start_date,country_of_origin
Otomege Sekai wa Mob ni Kibishii Sekai desu 2,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs Season 2,TV,12.0,24.0,LIGHT_NOVEL,SUMMER,Action;Fantasy;Mecha;Romance,Isekai;Anti-Hero;Female Harem;Parody;Male Protagonist;Primarily Teen Cast;School;Magic;Primarily Female Cast;Robots,68.0,2026-07-08,JP
Mebius Dust,Mebius Dust,TV,12.0,,OTHER,SUMMER,Action;Supernatural,Super Power;Primarily Teen Cast;Ensemble Cast;Athletics;Vampire;Kids;Terrorism;School;Police;Class Struggle,48.0,2026-07-09,JP
Thunder 3,Thunder 3,TV,11.0,24.0,MANGA,SUMMER,Adventure;Drama;Sci-Fi,Shounen;Primarily Child Cast;Male Protagonist;CGI;Primarily Male Cast;Surreal Comedy;Full CGI;Urban;Aliens;Isekai,52.0,2026-07-09,JP
Youjo Shenki 2,,ONA,11.0,2.0,LIGHT_NOVEL,SUMMER,Comedy;Fantasy,Chibi;Parody;Military;Foreign;Isekai;Gender Bending;Revenge,53.0,2026-07-09,JP
Super no Ura de Yani Suu Futari,Smoking Behind the Supermarket with You,TV,12.0,24.0,MANGA,SUMMER,Comedy;Romance;Slice of Life,Seinen;Heterosexual;Primarily Adult Cast;Work;Konbini;Iyashikei;Drugs;Male Protagonist;Episodic;Female Protagonist,82.0,2026-07-10,JP
Hanaori-san wa Tensei Shite mo Kenka ga Shitai,Hanaori-san Still Wants to Fight in the Next Life,TV,12.0,24.0,MANGA,SUMMER,Comedy;Romance;Supernatural,Reverse Isekai;Parody;Heterosexual;Slapstick;Urban Fantasy;Isekai;Love Triangle;School;Episodic;Magic,69.0,2026-07-12,JP
Plannosaurus Gachi Koseibutsu-bu,,TV_SHORT,11.0,5.0,OTHER,SUMMER,,Dinosaurs;Kids;Primarily Child Cast;Educational;Male Protagonist,,2026-07-12,JP
Yami Shibai 17,Theatre of Darkness: Yamishibai 17,TV_SHORT,11.0,,ORIGINAL,SUMMER,Horror;Supernatural,Episodic,,2026-07-13,JP
Nige Jouzu no Wakagimi 2nd Season,The Elusive Samurai Season 2,TV,12.0,24.0,MANGA,SUMMER,Action;Adventure,Samurai;War;Historical;Shounen;Gore;Politics;Mixed Media;Male Protagonist;Primarily Male Cast;Primarily Child Cast,76.0,2026-07-17,JP
BLEACH: Sennen Kessen-hen - Kashin-tan,BLEACH: Thousand-Year Blood War - The Calamity,TV,10.0,,MANGA,SUMMER,Action;Adventure;Supernatural,Shounen;Male Protagonist;Gods;Swordplay;War;Super Power;Ensemble Cast;Urban Fantasy;Memory Manipulation;Gore,90.0,2026-07-25,JP
Deco x Deco THE ANIMATION,,OVA,1.0,20.0,MANGA,SUMMER,Comedy;Hentai;Romance,Pet Play,63.0,2026-07-31,JP
Harem-tou e Youkoso!,,OVA,1.0,,VISUAL_NOVEL,SUMMER,Hentai,Female Harem,50.0,2026-07-31,JP
Inaka ni wa Kore Kurai Shika Goraku ga nai,,OVA,1.0,16.0,OTHER,SUMMER,Hentai,Heterosexual;Teacher;Large Breasts;Male Protagonist;Threesome;Nakadashi;Defloration;LGBTQ+ Themes;Bisexual;Yuri,65.0,2026-07-31,JP
Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai Season 4,,ONA,1.0,2.0,MANGA,SUMMER,Comedy,,,2026-08-07,JP
Sare Tsuma wa Ubawaretai,,OVA,1.0,,ORIGINAL,SUMMER,Hentai,,,2026-08-28,JP
Kanojo Saimin,,OVA,1.0,,OTHER,SUMMER,Hentai,Memory Manipulation,59.0,2026-08-28,JP
Matsuken Anime: Kore Seibaishite mo Ii desu ka?,,ONA,1.0,2.0,OTHER,SUMMER,Music,Flash;Chibi;Male Protagonist,,2026-08-29,JP
Ghost Meets Gal!,,TV_SHORT,3.0,2.0,MANGA,SUMMER,Comedy;Fantasy,Gyaru;Ghost;Primarily Female Cast;Idol,,2026-09-05,JP
PokéOki SEASON 2,,ONA,4.0,1.0,VIDEO_GAME,SUMMER,Slice of Life,Animals;Vertical Video,,2026-09-07,JP
Muramata-san no Aijou,,OVA,3.0,20.0,MANGA,SUMMER,Hentai,,,2026-09-11,JP
Netorareta Bakunyuu Tsuma-tachi 2,,OVA,2.0,20.0,MANGA,SUMMER,Hentai,,,2026-09-18,JP
Mujikaku na Osananajimi to Kyoumi Honi de Yatte Mitara THE ANIMATION,,OVA,1.0,20.0,MANGA,SUMMER,Hentai,,,2026-09-25,JP
NTR Kishi,,OVA,1.0,,OTHER,SUMMER,Hentai,,,2026-09-25,JP
Wareware wa Uchuujin,,MOVIE,1.0,,ORIGINAL,SUMMER,Drama,Coming of Age;Rotoscoping,,2026-09-25,JP
Oushun Jogakuen no Danyuu,,ONA,1.0,,OTHER,SUMMER,Hentai,,,2026-09-26,JP
